created_at,name,uid,url,id,description,category,from,color
2024-02-25T21:03:30.372Z,"Fear & Greed Index
",fk@fkodama.com,https://alternative.me/crypto/fear-and-greed-index/,384637c9-ebaf-43af-a200-f2c45bbfb366,"Crypto Fear & Greed Index
",Indicator,alternative.me,Orange
2024-06-19T19:02:46.332Z,Belo Trade Platform,fk@fkodama.com,https://belotrade.net/login,f377f12d-d1db-42e2-92bd-2631f2f9da86,Platform with L/S Ratios for Altcoins,Indicator,belo trade,Green
2024-02-25T21:10:23.797Z,Trading View,fk@fkodama.com,https://www.tradingview.com/chart/D7re5L3E/,4006e617-8308-416d-96c4-fcef1df55777,Real-time financial charting and market analysis.,Platform,tranding view,Black
2024-02-25T20:49:36.182Z,"BTC Analysis ",fk@fkodama.com,https://cryptoquant.com/asset/btc/summary,60815622-7d37-45ff-9c8a-043225285343,Bunch of Data and Charts,Analysis,crypto quant,Green
2024-07-07T15:00:53.902Z,BingX,fk@fkodama.com,https://bingx.com/,7a3c7720-daf2-4674-bb71-4fc25860788f,No need for KYC,Exchange,BingX,Blue
2024-06-23T21:41:40.742Z,B3 | Cotações,fk@fkodama.com,https://www.b3.com.br/pt_br/market-data-e-indices/servicos-de-dados/market-data/cotacoes/,31d17c57-b495-4b3d-bb6e-b089cc175331,"Brazilian Stock Market | Prices ",Platform,b3,Green
2024-07-07T15:02:42.725Z,Binance,fk@fkodama.com,https://www.binance.com/,1cb50483-7ba8-4790-bd5f-49401de6c64f,Delivery your statements to the Government in Brazil,Exchange,Binance,Orange
2024-11-07T16:29:01.218Z,ETH and BTC ETFs,fk@fkodama.com,"https://www.nasdaq.com/articles/13-canadian-crypto-etfs-updated-2024#:~:text=Canada%20first%20launched%20Bitcoin%20and,or%20registered%20retirement%20savings%20plans.",871029c4-e88b-47d9-ba97-ef29a57281fa,ETH and BTC ETFs,Miscellaneous,Nasdaq,Black
2024-06-19T02:05:33.249Z,Altcoin Season Index,fk@fkodama.com,https://www.blockchaincenter.net/en/altcoin-season-index/,b23b5078-e664-40ac-ad36-ceef3c83ee6c,Altcoin Season Index Chart,Analysis,"blockchain center
",Green
2024-07-07T15:03:16.131Z,L/S Ratio by Coin,fk@fkodama.com,https://www.cryptometer.io/liquidation-data,3cbee5ea-969e-4bfa-a459-2154932ef0ab,L/S Ratio by Coin,Indicator,cryptometer,Orange
